任务ID,负责人,任务标题,任务类型,状态,完成标准DoD,最晚截止
OPS-001,运营官,小红书账号搭建,B-依赖触发,待触发,账号资料完整（头像/简介/背景图），后台配置完毕,2026-03-26
OPS-002,运营官,首批10篇笔记文案撰写,A-立即推进,待启动,10篇笔记文案框架完成，首批5篇初稿完成,2026-03-25
OPS-003,运营官,内容发布排期表,A-立即推进,待启动,发布排期表框架完成，首批选题确定,2026-03-25
OPS-004,运营官,Day1笔记发布,B-依赖触发,待触发,Day1笔记（成年人改名5大误区）成功发布,2026-03-25 20:00
DESIGN-001,设计师,3张封面图（职场风/古风/科技风）,A-立即推进,进行中,3张封面图交付,2026-03-25 18:00
DESIGN-002,设计师,2版IP头像初稿,A-立即推进,待启动,2个版本头像（专业版+卡通版）初稿交付,2026-03-25
DESIGN-003,设计师,3款封面模板初稿,A-立即推进,待启动,3款统一封面模板初稿交付,2026-03-25
DESIGN-004,设计师,内文配图模板初稿,A-立即推进,待启动,内文配图模板初稿交付,2026-03-25
TECH-001,技术员,数据追踪Bitable配置,A-立即推进,待启动,小红书数据追踪Bitable表配置完成，可录入数据,2026-03-25
TECH-002,技术员,数据看板框架,A-立即推进,待启动,运营数据看板框架搭建完成,2026-03-25
NAMING-001,南南,3个真实案例素材,A-立即推进,待启动,3个真实案例素材（脱敏）交付,2026-03-25
NAMING-002,南南,内容审核清单初稿,A-立即推进,待启动,专业内容审核清单初稿交付,2026-03-25
NAMING-003,南南,10条问答素材,A-立即推进,待启动,用户问答素材库10条交付,2026-03-25
CEO-001,CEO,Day1笔记审核,B-依赖触发,待触发,审核通过或给出修改意见,2026-03-25 18:00
CEO-002,CEO,IP人设定位确认,A-立即推进,待启动,确认IP人设定位并反馈,2026-03-25
